continente,region,nacionalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,accion_migratoria,anual,timeste_1,timeste_2,timeste_3,timeste_4,cuatrimestre_1,cuatrimestre_2,cuatrimestre_3,semestre_1,semestre_2,total_anual,dominicano,covid-19,gasto_timeste_1,gasto_timeste_2,gasto_timeste_3,gasto_timeste_4,gasto_promedio_anual,estadia_trimestre_1,estadia_trimestre_2,estadia_trimestre_3,estadia_trimestre_4,estadia_promedio_anual,proyectado
asia,asia_occidental,georgia,49,32,47,39,38,0,0,0,0,0,0,0,entrada,2024,128,0,0,0,167,0,0,205,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,ghana,23,27,30,37,51,0,0,0,0,0,0,0,entrada,2024,80,0,0,0,117,0,0,168,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,granada,20,15,22,24,34,0,0,0,0,0,0,0,entrada,2024,57,0,0,0,81,0,0,115,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_sur,grecia,318,297,297,143,161,0,0,0,0,0,0,0,entrada,2024,912,0,0,0,1055,0,0,1216,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,micronesia,guam,0,0,0,1,0,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,1,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,centroamerica,guatemala,2588,1776,2879,2794,2553,0,0,0,0,0,0,0,entrada,2024,7243,0,0,0,10037,0,0,12590,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,guayana,126,125,271,220,225,0,0,0,0,0,0,0,entrada,2024,522,0,0,0,742,0,0,967,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,guinea,5,5,4,4,12,0,0,0,0,0,0,0,entrada,2024,14,0,0,0,18,0,0,30,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,guinea_ecuatorial,1,1,1,0,1,0,0,0,0,0,0,0,entrada,2024,3,0,0,0,3,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,guineabissau,0,2,0,2,0,0,0,0,0,0,0,0,entrada,2024,2,0,0,0,4,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,haiti,3191,2854,2030,1553,1359,0,0,0,0,0,0,0,entrada,2024,8075,0,0,0,9628,0,0,10987,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,centroamerica,honduras,750,695,1240,1135,837,0,0,0,0,0,0,0,entrada,2024,2685,0,0,0,3820,0,0,4657,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_central,hungria,1691,956,671,428,354,0,0,0,0,0,0,0,entrada,2024,3318,0,0,0,3746,0,0,4100,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,indefinido,indefinido,15,10,11,8,4,0,0,0,0,0,0,0,entrada,2024,36,0,0,0,44,0,0,48,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_del_sur,india,1214,1411,2333,1501,1467,0,0,0,0,0,0,0,entrada,2024,4958,0,0,0,6459,0,0,7926,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_sudoriental,indonesia,124,153,113,33,43,0,0,0,0,0,0,0,entrada,2024,390,0,0,0,423,0,0,466,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,irak,5,9,12,5,10,0,0,0,0,0,0,0,entrada,2024,26,0,0,0,31,0,0,41,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_meridional,iran,140,125,150,144,75,0,0,0,0,0,0,0,entrada,2024,415,0,0,0,559,0,0,634,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,irlanda,485,476,571,399,359,0,0,0,0,0,0,0,entrada,2024,1532,0,0,0,1931,0,0,2290,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,isla_de_aruba,0,0,0,0,1,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,islandia,162,29,45,7,22,0,0,0,0,0,0,0,entrada,2024,236,0,0,0,243,0,0,265,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,islas_caiman,0,0,0,0,0,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,0,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,polinesia,islas_cook,0,1,1,0,0,0,0,0,0,0,0,0,entrada,2024,2,0,0,0,2,0,0,2,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,micronesia,islas_marshall,0,0,0,0,1,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,melanesia,islas_salom?n,0,0,1,0,0,0,0,0,0,0,0,0,entrada,2024,1,0,0,0,1,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,islas_turcas_y_caicos,0,3,6,2,5,0,0,0,0,0,0,0,entrada,2024,9,0,0,0,11,0,0,16,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,islas_virgenes_britanicas,8,11,6,12,2,0,0,0,0,0,0,0,entrada,2024,25,0,0,0,37,0,0,39,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,israel,444,507,459,599,363,0,0,0,0,0,0,0,entrada,2024,1410,0,0,0,2009,0,0,2372,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_sur,italia,13131,11297,11084,7664,7078,0,0,0,0,0,0,0,entrada,2024,35512,0,0,0,43176,0,0,50254,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,jamaica,1418,1274,1863,1589,1945,0,0,0,0,0,0,0,entrada,2024,4555,0,0,0,6144,0,0,8089,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_oriental,jap?n,358,344,402,243,269,0,0,0,0,0,0,0,entrada,2024,1104,0,0,0,1347,0,0,1616,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,jordania,21,23,35,31,11,0,0,0,0,0,0,0,entrada,2024,79,0,0,0,110,0,0,121,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,katar,4,2,10,5,1,0,0,0,0,0,0,0,entrada,2024,16,0,0,0,21,0,0,22,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_central,kazajstan,178,127,155,134,136,0,0,0,0,0,0,0,entrada,2024,460,0,0,0,594,0,0,730,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,kenia,25,19,27,30,34,0,0,0,0,0,0,0,entrada,2024,71,0,0,0,101,0,0,135,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_central,kirguistan,22,34,16,8,13,0,0,0,0,0,0,0,entrada,2024,72,0,0,0,80,0,0,93,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,kuwait,3,20,18,2,3,0,0,0,0,0,0,0,entrada,2024,41,0,0,0,43,0,0,46,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_sudoriental,laos,0,0,0,0,0,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,0,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,letonia,195,130,139,74,76,0,0,0,0,0,0,0,entrada,2024,464,0,0,0,538,0,0,614,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,libano,56,123,118,63,65,0,0,0,0,0,0,0,entrada,2024,297,0,0,0,360,0,0,425,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,liberia,10,13,10,25,17,0,0,0,0,0,0,0,entrada,2024,33,0,0,0,58,0,0,75,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_del_norte,libia,3,1,1,2,0,0,0,0,0,0,0,0,entrada,2024,5,0,0,0,7,0,0,7,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,liechtenstein,16,11,27,7,8,0,0,0,0,0,0,0,entrada,2024,54,0,0,0,61,0,0,69,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,lituania,338,317,249,223,174,0,0,0,0,0,0,0,entrada,2024,904,0,0,0,1127,0,0,1301,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,luxemburgo,80,97,175,155,84,0,0,0,0,0,0,0,entrada,2024,352,0,0,0,507,0,0,591,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,macedonia,97,69,35,70,61,0,0,0,0,0,0,0,entrada,2024,201,0,0,0,271,0,0,332,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,madagascar,3,5,10,4,8,0,0,0,0,0,0,0,entrada,2024,18,0,0,0,22,0,0,30,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_sudoriental,malasia,31,29,30,35,36,0,0,0,0,0,0,0,entrada,2024,90,0,0,0,125,0,0,161,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,malawi,0,1,4,2,1,0,0,0,0,0,0,0,entrada,2024,5,0,0,0,7,0,0,8,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_del_sur,maldivas,0,0,0,0,0,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,0,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,mali,6,2,4,3,4,0,0,0,0,0,0,0,entrada,2024,12,0,0,0,15,0,0,19,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_sur,malta,14,21,28,16,8,0,0,0,0,0,0,0,entrada,2024,63,0,0,0,79,0,0,87,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,mancomunidad_de_dominica,36,25,29,39,34,0,0,0,0,0,0,0,entrada,2024,90,0,0,0,129,0,0,163,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_del_norte,marruecos,200,203,65,178,214,0,0,0,0,0,0,0,entrada,2024,468,0,0,0,646,0,0,860,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,mauricio,27,21,24,31,22,0,0,0,0,0,0,0,entrada,2024,72,0,0,0,103,0,0,125,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,mauritania,0,1,1,2,0,0,0,0,0,0,0,0,entrada,2024,2,0,0,0,4,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,america_del_norte,mexico,7136,7364,9538,8837,10256,0,0,0,0,0,0,0,entrada,2024,24038,0,0,0,32875,0,0,43131,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,moldovia,90,49,32,59,53,0,0,0,0,0,0,0,entrada,2024,171,0,0,0,230,0,0,283,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,m?naco,2,7,3,2,0,0,0,0,0,0,0,0,entrada,2024,12,0,0,0,14,0,0,14,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_oriental,mongolia,11,6,2,4,0,0,0,0,0,0,0,0,entrada,2024,19,0,0,0,23,0,0,23,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,montenegro,47,29,20,11,21,0,0,0,0,0,0,0,entrada,2024,96,0,0,0,107,0,0,128,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_austral,mozambique,7,1,4,3,4,0,0,0,0,0,0,0,entrada,2024,12,0,0,0,15,0,0,19,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_sudoriental,myanmar(birmania),5,5,6,5,15,0,0,0,0,0,0,0,entrada,2024,16,0,0,0,21,0,0,36,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_austral,namibia,2,3,1,2,3,0,0,0,0,0,0,0,entrada,2024,6,0,0,0,8,0,0,11,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_del_sur,nepal,28,42,44,55,50,0,0,0,0,0,0,0,entrada,2024,114,0,0,0,169,0,0,219,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,centroamerica,nicaragua,355,338,513,393,280,0,0,0,0,0,0,0,entrada,2024,1206,0,0,0,1599,0,0,1879,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,niger,2,0,4,6,2,0,0,0,0,0,0,0,entrada,2024,6,0,0,0,12,0,0,14,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,nigeria,122,183,195,234,388,0,0,0,0,0,0,0,entrada,2024,500,0,0,0,734,0,0,1122,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,noruega,367,437,274,119,124,0,0,0,0,0,0,0,entrada,2024,1078,0,0,0,1197,0,0,1321,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,australia_y_nueva_zelanda,nueva_zelanda,68,79,76,55,68,0,0,0,0,0,0,0,entrada,2024,223,0,0,0,278,0,0,346,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,oman,0,1,1,2,1,0,0,0,0,0,0,0,entrada,2024,2,0,0,0,4,0,0,5,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,paises_bajos_[hld],0,0,0,0,0,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,0,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_occidental,paises_bajos_[nld],3569,3413,3415,3064,3368,0,0,0,0,0,0,0,entrada,2024,10397,0,0,0,13461,0,0,16829,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_del_sur,pakistan,49,40,56,61,54,0,0,0,0,0,0,0,entrada,2024,145,0,0,0,206,0,0,260,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,micronesia,palau,0,0,0,0,1,0,0,0,0,0,0,0,entrada,2024,0,0,0,0,0,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,palestina,5,8,2,4,7,0,0,0,0,0,0,0,entrada,2024,15,0,0,0,19,0,0,26,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,centroamerica,panama,2677,3305,1912,1794,1489,0,0,0,0,0,0,0,entrada,2024,7894,0,0,0,9688,0,0,11177,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
oceania,melanesia,papua_nueva_guinea,3,0,0,0,2,0,0,0,0,0,0,0,entrada,2024,3,0,0,0,3,0,0,5,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,america_del_sur,paraguay,1240,609,741,568,1027,0,0,0,0,0,0,0,entrada,2024,2590,0,0,0,3158,0,0,4185,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,america_del_sur,peru,5711,7021,6720,5602,9195,0,0,0,0,0,0,0,entrada,2024,19452,0,0,0,25054,0,0,34249,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,polonia,7746,7154,5640,2367,1537,0,0,0,0,0,0,0,entrada,2024,20540,0,0,0,22907,0,0,24444,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_sur,portugal,2347,1941,3256,5124,5186,0,0,0,0,0,0,0,entrada,2024,7544,0,0,0,12668,0,0,17854,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,puerto_rico,0,1,2,0,0,0,0,0,0,0,0,0,entrada,2024,3,0,0,0,3,0,0,3,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
indefinido,indefinido,refugiado_i,188,114,175,166,181,0,0,0,0,0,0,0,entrada,2024,477,0,0,0,643,0,0,824,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
indefinido,indefinido,refugiado_ii,1,0,0,4,0,0,0,0,0,0,0,0,entrada,2024,1,0,0,0,5,0,0,5,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,reino_unido,12083,11768,12766,11359,17758,0,0,0,0,0,0,0,entrada,2024,36617,0,0,0,47976,0,0,65734,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,reino_unido_(ciudadano_extranjero),1,0,0,1,2,0,0,0,0,0,0,0,entrada,2024,1,0,0,0,2,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,reino_unido_(ciudadanos_territorios_dependientes),356,356,538,344,414,0,0,0,0,0,0,0,entrada,2024,1250,0,0,0,1594,0,0,2008,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,reino_unido_(nacional_en_el_extranjero),11,11,7,3,11,0,0,0,0,0,0,0,entrada,2024,29,0,0,0,32,0,0,43,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_norte,reino_unido_(sujeto),1,2,0,0,1,0,0,0,0,0,0,0,entrada,2024,3,0,0,0,3,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,republica_centroafricana,0,0,1,1,4,0,0,0,0,0,0,0,entrada,2024,1,0,0,0,2,0,0,6,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_central,republica_checa_(chequia),3362,3253,3075,1602,372,0,0,0,0,0,0,0,entrada,2024,9690,0,0,0,11292,0,0,11664,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_oriental,republica_de_corea,720,543,534,381,454,0,0,0,0,0,0,0,entrada,2024,1797,0,0,0,2178,0,0,2632,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_austral,republica_de_sudafrica,421,374,254,237,199,0,0,0,0,0,0,0,entrada,2024,1049,0,0,0,1286,0,0,1485,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,republica_del_congo,3,2,4,4,4,0,0,0,0,0,0,0,entrada,2024,9,0,0,0,13,0,0,17,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,republica_democratica_del_congo,11,17,17,20,26,0,0,0,0,0,0,0,entrada,2024,45,0,0,0,65,0,0,91,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,republica_dominicana,141087,91986,113112,99014,113147,0,0,0,0,0,0,0,entrada,2024,346185,0,0,0,445199,0,0,558346,0,0,si,post-covid-19,676.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_central,republica_eslovaca,1407,1259,980,873,284,0,0,0,0,0,0,0,entrada,2024,3646,0,0,0,4519,0,0,4803,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,ruanda,10,2,10,4,9,0,0,0,0,0,0,0,entrada,2024,22,0,0,0,26,0,0,35,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,rumania,1536,1443,1154,926,967,0,0,0,0,0,0,0,entrada,2024,4133,0,0,0,5059,0,0,6026,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,rusia,865,741,872,605,638,0,0,0,0,0,0,0,entrada,2024,2478,0,0,0,3083,0,0,3721,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,san_crist?bal_y_nieves,136,117,230,174,94,0,0,0,0,0,0,0,entrada,2024,483,0,0,0,657,0,0,751,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_sur,san_marino,14,11,21,2,0,0,0,0,0,0,0,0,entrada,2024,46,0,0,0,48,0,0,48,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,san_vicente_y_las_granadinas,26,41,42,33,34,0,0,0,0,0,0,0,entrada,2024,109,0,0,0,142,0,0,176,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
america,caribe,santa_lucia,31,18,46,47,53,0,0,0,0,0,0,0,entrada,2024,95,0,0,0,142,0,0,195,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_central,santo_tome_y_principe,0,1,0,0,0,0,0,0,0,0,0,0,entrada,2024,1,0,0,0,1,0,0,1,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,senegal,11,10,10,11,19,0,0,0,0,0,0,0,entrada,2024,31,0,0,0,42,0,0,61,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
europa,europa_del_este,serbia,429,318,260,262,213,0,0,0,0,0,0,0,entrada,2024,1007,0,0,0,1269,0,0,1482,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,seychelles,13,1,0,1,1,0,0,0,0,0,0,0,entrada,2024,14,0,0,0,15,0,0,16,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_occidental,sierra_leona,6,3,4,4,5,0,0,0,0,0,0,0,entrada,2024,13,0,0,0,17,0,0,22,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_sudoriental,singapur,27,22,58,57,40,0,0,0,0,0,0,0,entrada,2024,107,0,0,0,164,0,0,204,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_occidental,siria,13,36,24,8,13,0,0,0,0,0,0,0,entrada,2024,73,0,0,0,81,0,0,94,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
africa,africa_oriental,somalia,2,0,0,0,2,0,0,0,0,0,0,0,entrada,2024,2,0,0,0,2,0,0,4,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
asia,asia_meridional,sri_lanka,59,15,33,42,44,0,0,0,0,0,0,0,entrada,2024,107,0,0,0,149,0,0,193,0,0,no,post-covid-19,167.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
